     85.000	 1   94.200
     84.000	 1   94.200
     83.000	 1   94.200
     82.000	 1   94.200
     81.000	 1   94.200
     80.000	 1   94.200
     79.000	 1   94.200
     78.000	 1   94.200
     77.000	 1   94.200
     76.000	 1   94.200
     75.000	 1   94.200
     74.000	 1   94.200
     73.000	 1   94.200
     72.000	 1   94.200
     71.000	 2   75.900
     70.000	 2   75.900
     69.000	 2   75.900
     68.000	 2   75.900
     67.000	 2   75.900
     66.000	 2   75.900
     65.000	 2   75.900
     64.000	 2   75.900
     63.000	 2   75.900
     62.000	 2   75.900
     61.000	 2   75.900
     60.000	 2   75.900
     59.000	 2   75.900
     58.000	 2   75.900
     57.000	 2   75.900
     56.000	 2   75.900
     55.000	 2   75.900
     54.000	 2   75.900
     53.000	 2   75.900
     52.000	 2   75.900
     51.000	 2   75.900
     50.000	 2   75.900
     49.000	 2   75.900
     48.000	 2   75.900
     47.000	 2   75.900
     46.000	 2   75.900
     45.000	 2   75.900
     44.000	 2   75.900
     43.000	 2   75.900
     42.000	 2   75.900
     41.000	 2   75.900
     40.000	 2   75.900
     39.000	 2   75.900
     38.000	 2   75.900
     37.000	 2   75.900
     36.000	 2   75.900
     35.000	 2   75.900
     34.000	 2   75.900
     33.000	 2   75.900
     32.000	 2   75.900
     31.000	 2   75.900
     30.000	 2   75.900
     29.000	 2   75.900
     28.000	 2   75.900
     27.000	 2   75.900
     26.000	 2   75.900
     25.000	 2   75.900
     24.000	 2   75.900
     23.000	 2   75.900
     22.000	 2   75.900
     21.000	 2   75.900
     20.000	 2   75.900
     19.000	 2   75.900
     18.000	 2   75.900
     17.000	 2   75.900
     16.000	 2   75.900
     15.000	 2   75.900
     14.000	 2   75.900
     13.000	 2   75.900
     12.000	 2   75.900
     11.000	 2   75.900
     10.000	 2   75.900
      9.000	 2   75.900
      8.000	 2   75.900
      7.000	 2   75.900
      6.000	 2   75.900
      5.000	 2   75.900
      4.000	 2   75.900
      3.000	 2   75.900
      2.000	 2   75.900
      1.000	 2   75.900
      0.000	 2   75.900
     -1.000	 2   75.900
     -2.000	 2   75.900
     -3.000	 2   75.900
     -4.000	 2   75.900
     -5.000	 2   75.900
     -6.000	 2   75.900
     -7.000	 2   75.900
     -8.000	 2   75.900
     -9.000	 2   75.900
    -10.000	 2   75.900
    -11.000	 2   75.900
    -12.000	 2   75.900
    -13.000	 2   75.900
    -14.000	 2   75.900
    -15.000	 2   75.900
    -16.000	 2   75.900
    -17.000	 2   75.900
    -18.000	 2   75.900
    -19.000	 2   75.900
    -20.000	 2   75.900
    -21.000	 2   75.900
    -22.000	 2   75.900
    -23.000	 2   75.900
    -24.000	 2   75.900
    -25.000	 2   75.900
    -26.000	 2   75.900
    -27.000	 2   75.900
    -28.000	 2   75.900
    -29.000	 2   75.900
    -30.000	 2   75.900
    -31.000	 2   75.900
    -32.000	 2   75.900
    -33.000	 2   75.900
    -34.000	 2   75.900
    -35.000	 2   75.900
    -36.000	 2   75.900
    -37.000	 2   75.900
    -38.000	 2   75.900
    -39.000	 2   75.900
    -40.000	 2   75.900
    -41.000	 2   75.900
    -42.000	 2   75.900
    -43.000	 2   75.900
    -44.000	 2   75.900
    -45.000	 2   75.900
    -46.000	 2   75.900
    -47.000	 2   75.900
    -48.000	 2   75.900
    -49.000	 2   75.900
    -50.000	 2   75.900
    -51.000	 2   75.900
    -52.000	 2   75.900
    -53.000	 2   75.900
    -54.000	 2   75.900
    -55.000	 2   75.900
    -56.000	 3 2000.000
    -57.000	 3 2000.000
    -58.000	 3 2000.000
    -59.000	 3 2000.000
    -60.000	 3 2000.000
    -61.000	 3 2000.000
    -62.000	 3 2000.000
    -63.000	 3 2000.000
    -64.000	 3 2000.000
    -65.000	 3 2000.000
    -66.000	 3 2000.000
    -67.000	 3 2000.000
    -68.000	 3 2000.000
    -69.000	 3 2000.000
    -70.000	 3 2000.000
    -71.000	 3 2000.000
    -72.000	 3 2000.000
    -73.000	 3 2000.000
    -74.000	 3 2000.000
    -75.000	 3 2000.000
    -76.000	 3 2000.000
    -77.000	 3 2000.000
    -78.000	 3 2000.000
    -79.000	 3 2000.000
    -80.000	 3 2000.000
    -81.000	 3 2000.000
    -82.000	 3 2000.000
    -83.000	 3 2000.000
    -84.000	 3 2000.000
    -85.000	 3 2000.000
    -86.000	 3 2000.000
    -87.000	 3 2000.000
    -88.000	 3 2000.000
    -89.000	 3 2000.000
    -90.000	 3 2000.000
    -91.000	 3 2000.000
    -92.000	 3 2000.000
    -93.000	 3 2000.000
    -94.000	 3 2000.000
    -95.000	 3 2000.000
    -96.000	 3 2000.000
    -97.000	 3 2000.000
    -98.000	 3 2000.000
    -99.000	 3 2000.000
   -100.000	 3 2000.000
   -101.000	 3 2000.000
   -102.000	 3 2000.000
   -103.000	 3 2000.000
   -104.000	 3 2000.000
   -105.000	 3 2000.000
   -106.000	 3 2000.000
   -107.000	 3 2000.000
   -108.000	 3 2000.000
   -109.000	 3 2000.000
   -110.000	 3 2000.000
   -111.000	 3 2000.000
   -112.000	 3 2000.000
   -113.000	 3 2000.000
   -114.000	 3 2000.000
   -115.000	 3 2000.000
   -116.000	 3 2000.000
   -117.000	 3 2000.000
   -118.000	 3 2000.000
   -119.000	 3 2000.000
   -120.000	 3 2000.000
   -121.000	 3 2000.000
   -122.000	 3 2000.000
   -123.000	 3 2000.000
   -124.000	 3 2000.000
   -125.000	 3 2000.000
   -126.000	 3 2000.000
   -127.000	 3 2000.000
   -128.000	 3 2000.000
   -129.000	 3 2000.000
   -130.000	 3 2000.000
   -131.000	 3 2000.000
   -132.000	 3 2000.000
   -133.000	 3 2000.000
   -134.000	 3 2000.000
   -135.000	 3 2000.000
   -136.000	 3 2000.000
   -137.000	 3 2000.000
   -138.000	 3 2000.000
   -139.000	 3 2000.000
   -140.000	 3 2000.000
   -141.000	 3 2000.000
   -142.000	 3 2000.000
   -143.000	 3 2000.000
   -144.000	 3 2000.000
   -145.000	 3 2000.000
   -146.000	 3 2000.000
   -147.000	 3 2000.000
   -148.000	 3 2000.000
   -149.000	 3 2000.000
   -150.000	 3 2000.000
   -151.000	 3 2000.000
   -152.000	 3 2000.000
   -153.000	 3 2000.000
   -154.000	 3 2000.000
   -155.000	 3 2000.000
   -156.000	 3 2000.000
   -157.000	 3 2000.000
   -158.000	 3 2000.000
   -159.000	 3 2000.000
   -160.000	 3 2000.000
   -161.000	 3 2000.000
   -162.000	 3 2000.000
   -163.000	 3 2000.000
   -164.000	 3 2000.000
   -165.000	 3 2000.000
   -166.000	 3 2000.000
   -167.000	 3 2000.000
   -168.000	 3 2000.000
   -169.000	 3 2000.000
   -170.000	 3 2000.000
   -171.000	 3 2000.000
   -172.000	 3 2000.000
   -173.000	 3 2000.000
   -174.000	 3 2000.000
   -175.000	 3 2000.000
   -176.000	 3 2000.000
   -177.000	 3 2000.000
   -178.000	 3 2000.000
   -179.000	 3 2000.000
   -180.000	 3 2000.000
   -181.000	 3 2000.000
   -182.000	 3 2000.000
   -183.000	 3 2000.000
   -184.000	 3 2000.000
   -185.000	 3 2000.000
   -186.000	 3 2000.000
   -187.000	 3 2000.000
   -188.000	 3 2000.000
   -189.000	 3 2000.000
   -190.000	 3 2000.000
   -191.000	 3 2000.000
   -192.000	 3 2000.000
   -193.000	 3 2000.000
   -194.000	 3 2000.000
   -195.000	 3 2000.000
   -196.000	 3 2000.000
   -197.000	 3 2000.000
   -198.000	 3 2000.000
   -199.000	 3 2000.000
   -200.000	 3 2000.000
   -201.000	 3 2000.000
   -202.000	 3 2000.000
   -203.000	 3 2000.000
   -204.000	 3 2000.000
   -205.000	 3 2000.000
   -206.000	 3 2000.000
   -207.000	 3 2000.000
   -208.000	 3 2000.000
   -209.000	 3 2000.000
   -210.000	 3 2000.000
   -211.000	 3 2000.000
   -212.000	 3 2000.000
   -213.000	 3 2000.000
   -214.000	 3 2000.000
   -215.000	 3 2000.000
   -216.000	 3 2000.000
   -217.000	 3 2000.000
   -218.000	 3 2000.000
   -219.000	 3 2000.000
   -220.000	 3 2000.000
   -221.000	 3 2000.000
   -222.000	 3 2000.000
   -223.000	 3 2000.000
   -224.000	 3 2000.000
   -225.000	 3 2000.000
   -226.000	 4    8.100
